victim,month,count,sev,avg_sev
Biker,jan,333,135.5,0.406906907
Non-Biker,jan,15064,2042.5,0.135588157
Biker,feb,336,136.5,0.40625
Non-Biker,feb,14019,2018,0.1439475
Biker,mar,554,232,0.418772563
Non-Biker,mar,16009,2487.5,0.155381348
Biker,apr,626,259.5,0.414536741
Non-Biker,apr,15042,2334.5,0.155198777
Biker,may,847,362.5,0.42798111
Non-Biker,may,16720,2601.5,0.155592105
Biker,jun,1084,485.5,0.447878229
Non-Biker,jun,16853,2836,0.168278645
Biker,jul,1085,470.5,0.433640553
Non-Biker,jul,16165,2857.5,0.176770801
Biker,aug,1120,484.5,0.432589286
Non-Biker,aug,16152,2700,0.167161961
Biker,sep,1045,444.5,0.425358852
Non-Biker,sep,16378,2612,0.159482232
